direction,position,mean,std,count,family,instrument
block_ba,36,0.2754495700355619,0.10760192823323876,10,suicide,lens
block_ba,37,0.1533932626247406,0.2909879695738365,10,suicide,lens
block_ba,38,0.31128033697605134,0.03898109603391971,10,suicide,lens
block_ba,39,0.33026952147483823,0.0507619364007998,10,suicide,lens
block_ab,0,-1.2722381591796874,0.47090949797340165,10,suicide,raw
block_ab,1,-1.3877424836158752,0.5949031152979776,10,suicide,raw
block_ab,2,-1.1644227087497712,0.28033441082721866,10,suicide,raw
block_ab,3,-1.3625468015670776,0.18885467551158136,10,suicide,raw
block_ab,4,-1.659377110004425,0.5843877546723666,10,suicide,raw
block_ab,5,-1.8290968179702758,0.4470003816285004,10,suicide,raw
block_ab,6,-1.8576409578323365,0.5715021375938081,10,suicide,raw
block_ab,7,-1.6490360975265503,0.2832652223950707,10,suicide,raw
block_ab,8,-1.720129269361496,0.6257197892521915,10,suicide,raw
block_ab,9,-1.394965946674347,0.4411029342573488,10,suicide,raw
block_ab,10,-1.5473234534263611,0.8011605833026756,10,suicide,raw
block_ab,11,-1.5201990127563476,0.636254097485662,10,suicide,raw
block_ab,12,-1.2908121466636657,0.562118791117612,10,suicide,raw
block_ab,13,-1.517159777879715,0.8276720822255751,10,suicide,raw
block_ab,14,-1.4354307293891906,0.7474374285986756,10,suicide,raw
block_ab,15,-1.032387810945511,0.2912330077953893,10,suicide,raw
block_ab,16,-1.1600632429122926,0.5810603726527357,10,suicide,raw
block_ab,17,-1.374937152862549,0.5300541520121601,10,suicide,raw
block_ab,18,-1.1235006868839263,0.6441210330582476,10,suicide,raw
block_ab,19,-1.3346672177314758,0.755143873604081,10,suicide,raw
block_ab,20,-0.7559730991721153,0.33666318352218155,10,suicide,raw
block_ab,21,-0.672506919503212,0.3872399922678708,10,suicide,raw
block_ab,22,-0.9232989057898522,0.5036947094436607,10,suicide,raw
block_ab,23,-1.1398238822817803,0.815625473229934,10,suicide,raw
block_ab,24,-1.5803645312786103,0.8880974971211757,10,suicide,raw
block_ab,25,-1.4727785408496856,0.6716261151805734,10,suicide,raw
block_ab,26,-1.4854372769594193,0.9388234245990517,10,suicide,raw
block_ab,27,-1.3559844434261321,1.1309345272494329,10,suicide,raw
block_ab,28,-1.3329642683267593,0.6077264543123831,10,suicide,raw
block_ab,29,-1.5931130945682526,0.9178979361005315,10,suicide,raw
block_ab,30,-2.3582617372274397,1.1761655586711788,10,suicide,raw
block_ab,31,-1.7994663745164872,0.8883053243092552,10,suicide,raw
block_ab,32,-1.5781239509582519,0.8251417052228714,10,suicide,raw
block_ab,33,-1.9901388853788375,0.950469416784195,10,suicide,raw
block_ab,34,-1.8411240935325623,0.7835428579374325,10,suicide,raw
block_ab,35,-1.8270299896597861,1.1009572819398243,10,suicide,raw
block_ab,36,-1.2534726500511169,0.5819235381604176,10,suicide,raw
block_ab,37,-1.4485956370830535,0.6025490374508695,10,suicide,raw
block_ab,38,-1.4916278302669526,0.462701269116802,10,suicide,raw
block_ab,39,-1.7885718286037444,0.702096729161428,10,suicide,raw
block_ba,0,1.2026207506656648,0.38118295953852566,10,suicide,raw
