probe,run,k,score,is_jump
fr_L14,fr_s1_ar_d3_fam07_fr,16,1.034,False
fr_L14,fr_s1_ar_d3_fam07_fr,17,1.003,False
fr_L14,fr_s1_ar_d3_fam07_fr,18,0.911,False
fr_L14,fr_s1_ar_d3_fam07_fr,19,0.807,False
fr_L14,fr_s1_ar_d3_fam07_fr,20,0.906,True
fr_L14,fr_s1_ar_d3_fam07_rf,1,0.942,False
fr_L14,fr_s1_ar_d3_fam07_rf,2,0.915,False
fr_L14,fr_s1_ar_d3_fam07_rf,3,0.87,False
fr_L14,fr_s1_ar_d3_fam07_rf,4,0.949,False
fr_L14,fr_s1_ar_d3_fam07_rf,5,0.959,False
fr_L14,fr_s1_ar_d3_fam07_rf,6,0.928,False
fr_L14,fr_s1_ar_d3_fam07_rf,7,1.028,False
fr_L14,fr_s1_ar_d3_fam07_rf,8,0.941,False
fr_L14,fr_s1_ar_d3_fam07_rf,9,0.978,False
fr_L14,fr_s1_ar_d3_fam07_rf,10,1.045,False
fr_L14,fr_s1_ar_d3_fam07_rf,11,1.005,False
fr_L14,fr_s1_ar_d3_fam07_rf,12,1.216,True
fr_L14,fr_s1_ar_d3_fam07_rf,13,1.042,False
fr_L14,fr_s1_ar_d3_fam07_rf,14,1.18,False
fr_L14,fr_s1_ar_d3_fam07_rf,15,0.959,False
fr_L14,fr_s1_ar_d3_fam07_rf,16,0.939,False
fr_L14,fr_s1_ar_d3_fam07_rf,17,1.063,False
fr_L14,fr_s1_ar_d3_fam07_rf,18,1.086,False
fr_L14,fr_s1_ar_d3_fam07_rf,19,1.017,False
fr_L14,fr_s1_ar_d3_fam07_rf,20,0.992,False
fr_L14,fr_s1_ar_d3_fam08_fr,1,1.258,False
fr_L14,fr_s1_ar_d3_fam08_fr,2,1.193,False
fr_L14,fr_s1_ar_d3_fam08_fr,3,1.219,False
fr_L14,fr_s1_ar_d3_fam08_fr,4,1.167,False
fr_L14,fr_s1_ar_d3_fam08_fr,5,1.143,False
fr_L14,fr_s1_ar_d3_fam08_fr,6,1.148,False
fr_L14,fr_s1_ar_d3_fam08_fr,7,1.027,True
fr_L14,fr_s1_ar_d3_fam08_fr,8,1.052,False
fr_L14,fr_s1_ar_d3_fam08_fr,9,1.049,False
fr_L14,fr_s1_ar_d3_fam08_fr,10,1.02,False
fr_L14,fr_s1_ar_d3_fam08_fr,11,0.958,False
fr_L14,fr_s1_ar_d3_fam08_fr,12,0.938,False
fr_L14,fr_s1_ar_d3_fam08_fr,13,1.021,False
fr_L14,fr_s1_ar_d3_fam08_fr,14,0.966,False
fr_L14,fr_s1_ar_d3_fam08_fr,15,0.852,False
fr_L14,fr_s1_ar_d3_fam08_fr,16,0.95,False
fr_L14,fr_s1_ar_d3_fam08_fr,17,0.844,False
fr_L14,fr_s1_ar_d3_fam08_fr,18,0.973,False
fr_L14,fr_s1_ar_d3_fam08_fr,19,0.957,False
fr_L14,fr_s1_ar_d3_fam08_fr,20,0.918,False
fr_L14,fr_s1_ar_d3_fam08_rf,1,0.989,False
fr_L14,fr_s1_ar_d3_fam08_rf,2,0.946,False
fr_L14,fr_s1_ar_d3_fam08_rf,3,1.061,False
fr_L14,fr_s1_ar_d3_fam08_rf,4,1.12,False
fr_L14,fr_s1_ar_d3_fam08_rf,5,1.045,False
fr_L14,fr_s1_ar_d3_fam08_rf,6,1.015,False
fr_L14,fr_s1_ar_d3_fam08_rf,7,1.05,False
fr_L14,fr_s1_ar_d3_fam08_rf,8,1.115,False
fr_L14,fr_s1_ar_d3_fam08_rf,9,1.063,False
fr_L14,fr_s1_ar_d3_fam08_rf,10,0.982,False
fr_L14,fr_s1_ar_d3_fam08_rf,11,0.957,False
fr_L14,fr_s1_ar_d3_fam08_rf,12,1.048,False
fr_L14,fr_s1_ar_d3_fam08_rf,13,0.983,False
fr_L14,fr_s1_ar_d3_fam08_rf,14,1.037,False
fr_L14,fr_s1_ar_d3_fam08_rf,15,1.048,False
fr_L14,fr_s1_ar_d3_fam08_rf,16,1.313,False
fr_L14,fr_s1_ar_d3_fam08_rf,17,1.303,False
fr_L14,fr_s1_ar_d3_fam08_rf,18,1.065,True
fr_L14,fr_s1_ar_d3_fam08_rf,19,1.055,False
fr_L14,fr_s1_ar_d3_fam08_rf,20,0.998,False
fr_L14,fr_s1_ar_d3_fam09_fr,1,1.113,False
fr_L14,fr_s1_ar_d3_fam09_fr,2,1.047,False
fr_L14,fr_s1_ar_d3_fam09_fr,3,0.96,False
fr_L14,fr_s1_ar_d3_fam09_fr,4,0.982,False
fr_L14,fr_s1_ar_d3_fam09_fr,5,0.937,False
fr_L14,fr_s1_ar_d3_fam09_fr,6,0.838,False
fr_L14,fr_s1_ar_d3_fam09_fr,7,0.927,False
fr_L14,fr_s1_ar_d3_fam09_fr,8,0.891,False
fr_L14,fr_s1_ar_d3_fam09_fr,9,0.856,False
fr_L14,fr_s1_ar_d3_fam09_fr,10,0.821,False
fr_L14,fr_s1_ar_d3_fam09_fr,11,1.0,True
fr_L14,fr_s1_ar_d3_fam09_fr,12,0.897,False
fr_L14,fr_s1_ar_d3_fam09_fr,13,0.818,False
fr_L14,fr_s1_ar_d3_fam09_fr,14,0.944,False
fr_L14,fr_s1_ar_d3_fam09_fr,15,0.945,False
fr_L14,fr_s1_ar_d3_fam09_fr,16,0.965,False
fr_L14,fr_s1_ar_d3_fam09_fr,17,0.939,False
fr_L14,fr_s1_ar_d3_fam09_fr,18,0.938,False
fr_L14,fr_s1_ar_d3_fam09_fr,19,0.93,False
fr_L14,fr_s1_ar_d3_fam09_fr,20,0.901,False
fr_L14,fr_s1_ar_d3_fam09_rf,1,0.988,False
fr_L14,fr_s1_ar_d3_fam09_rf,2,0.96,False
fr_L14,fr_s1_ar_d3_fam09_rf,3,1.005,False
fr_L14,fr_s1_ar_d3_fam09_rf,4,1.032,False
fr_L14,fr_s1_ar_d3_fam09_rf,5,1.033,False
fr_L14,fr_s1_ar_d3_fam09_rf,6,1.007,False
fr_L14,fr_s1_ar_d3_fam09_rf,7,0.995,False
fr_L14,fr_s1_ar_d3_fam09_rf,8,1.076,False
fr_L14,fr_s1_ar_d3_fam09_rf,9,1.055,False
fr_L14,fr_s1_ar_d3_fam09_rf,10,1.01,False
fr_L14,fr_s1_ar_d3_fam09_rf,11,1.017,False
fr_L14,fr_s1_ar_d3_fam09_rf,12,1.082,False
