set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
fr_s1_th_d3_fam08_rf_beh_k12	session_f26307ce	1	1	1	ok	2048	2026-08-30	0	9953	119.6
fr_s1_th_d3_fam08_rf_beh_k20	session_dfbee1ea	1	1	1	ok	2048	2026-08-30	0	9950	157.4
fr_s1_th_d3_fam09_fr_beh_k02	session_b458fbb6	1	1	1	ok	2048	2026-08-30	0	9956	113.9
fr_s1_th_d3_fam09_fr_beh_k06	session_685749ac	1	1	1	ok	2048	2026-08-30	0	9945	107.6
fr_s1_th_d3_fam09_fr_beh_k12	session_65d99904	1	1	1	ok	2048	2026-08-30	0	9984	107.4
fr_s1_th_d3_fam09_fr_beh_k20	session_578fbd2f	1	1	1	ok	2048	2026-08-30	0	9956	160.0
fr_s1_th_d3_fam09_rf_beh_k02	session_f9ac25e5	1	1	1	ok	2048	2026-08-30	1	1755	31.5
fr_s1_th_d3_fam09_rf_beh_k06	session_7a045cce	1	1	1	ok	2048	2026-08-30	1	1778	28.1
fr_s1_th_d3_fam09_rf_beh_k12	session_6f96b5ff	1	1	1	ok	2048	2026-08-30	1	2107	50.4
fr_s1_th_d3_fam09_rf_beh_k20	session_6e922ca7	1	1	1	ok	2048	2026-08-30	1	1697	64.9
fr_s1_th_d3_fam10_fr_beh_k02	session_b58f76c4	1	1	1	ok	2048	2026-08-30	0	9938	126.1
fr_s1_th_d3_fam10_fr_beh_k06	session_c3cfc90a	1	1	1	ok	2048	2026-08-30	1	7100	92.3
fr_s1_th_d3_fam10_fr_beh_k12	session_270011fb	1	1	1	ok	2048	2026-08-30	1	1738	33.4
fr_s1_th_d3_fam10_fr_beh_k20	session_e0d90829	1	1	1	ok	2048	2026-08-30	0	9951	149.8
fr_s1_th_d3_fam10_rf_beh_k02	session_fce83861	1	1	1	ok	2048	2026-08-30	0	9966	120.2
fr_s1_th_d3_fam10_rf_beh_k06	session_84d965d5	1	1	1	ok	2048	2026-08-30	0	9981	129.4
fr_s1_th_d3_fam10_rf_beh_k12	session_34215377	1	1	1	ok	2048	2026-08-30	0	9949	131.7
fr_s1_th_d3_fam10_rf_beh_k20	session_6a7c1576	1	1	1	ok	2048	2026-08-30	1	1516	46.1
fr_s1_th_d3_fam11_fr_beh_k02	session_d6e60505	1	1	1	ok	2048	2026-08-30	0	9952	111.2
